"Id";"UserId";"ExternalId";"InvoiceUri";"LevelName";"SessionId";"IsPaymentSuccess";"CompletionDate";"CreateDate"
"827a8104-1d54-11ef-99ce-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"5toSWrivAjaCC1FX";"https://localhost:44345/subscription-checkout?sessionid=sub_1PLacIDhgP60CL9xolOibudR&id=5toSWrivAjaCC1FX";"gold";"sub_1PLacIDhgP60CL9xolOibudR";"0";"";"2024-05-29 00:43:47"
"8351856b-1d60-11ef-99ce-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"8NFWpf77dtIvmU1t";"https://localhost:44345/subscription-checkout?sessionid=sub_1PLbxRDhgP60CL9x6SADv3VQ&id=8NFWpf77dtIvmU1t";"gold";"sub_1PLbxRDhgP60CL9x6SADv3VQ";"1";"2024-05-29 02:10:34";"2024-05-29 02:09:42"
"844df8ef-1f92-11ef-99ce-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"9wXacv9Okbbo7alj";"NONE";"guest";"NONE";"1";"2024-05-31 21:12:41";"2024-05-31 21:12:41"
"847623cc-0bb1-11ef-99ce-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"dO12Mjgow1aleNrP";"NONE";"guest";"NONE";"1";"2024-05-06 14:04:13";"2024-05-06 14:04:13"
"8523524e-54ee-11ef-99ce-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"Fz9b28dkjQW4jNQ4";"http://api.legallead.co/subscription-checkout?sessionid=sub_1PlF0UDhgP60CL9xO1z9Jt3b&id=Fz9b28dkjQW4jNQ4";"platinum";"sub_1PlF0UDhgP60CL9xO1z9Jt3b";"1";"2024-08-07 18:55:58";"2024-08-07 18:54:48"
"863efe5a-2292-11ef-99ce-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"4o6zoFwkfHneHskC";"NONE";"guest";"NONE";"1";"2024-06-04 16:50:18";"2024-06-04 16:50:18"
"867b576f-1d58-11ef-99ce-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"AipzHWHhDKA8DxX3";"https://localhost:44345/subscription-checkout?sessionid=sub_1PLb46DhgP60CL9xvdaVPRLG&id=AipzHWHhDKA8DxX3";"gold";"sub_1PLb46DhgP60CL9xvdaVPRLG";"0";"";"2024-05-29 01:12:32"
"87203bab-0dbb-11ef-99ce-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"GTSFEOkNvhQ5XQCL";"NONE";"guest";"NONE";"1";"2024-05-09 04:20:54";"2024-05-09 04:20:54"
"87c289ef-0baf-11ef-99ce-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"edb9arwCzbMIG5D7";"NONE";"guest";"NONE";"1";"2024-05-06 13:49:59";"2024-05-06 13:49:59"
"87ee94de-5439-11ef-99ce-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"uov0GmOOCgLDOwYZ";"NONE";"guest";"NONE";"1";"2024-08-06 21:19:14";"2024-08-06 21:19:14"
"8946670e-a484-11ef-99ce-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"Yj7gOCXTr5Co51oW";"NONE";"guest";"NONE";"1";"2024-11-17 01:37:41";"2024-11-17 01:37:41"
"89c722a7-54cb-11ef-99ce-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"qaf3c3ONOq6o0Tit";"http://api.legallead.co/subscription-checkout?sessionid=sub_1PlB6ADhgP60CL9xx20KIfmo&id=qaf3c3ONOq6o0Tit";"gold";"sub_1PlB6ADhgP60CL9xx20KIfmo";"0";"";"2024-08-07 14:44:23"
"8a669a4d-543f-11ef-99ce-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"Hosv4Cy1R9Ta4NYR";"http://api.legallead.co/subscription-checkout?sessionid=sub_1PkvSMDhgP60CL9xvQ7C53Y9&id=Hosv4Cy1R9Ta4NYR";"gold";"sub_1PkvSMDhgP60CL9xvQ7C53Y9";"0";"";"2024-08-06 22:02:15"
"8c9e5317-1d41-11ef-99ce-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"ooujaDjhSWt41RrO";"https://localhost:44345/subscription-checkout?sessionid=sub_1PLYUwDhgP60CL9xgoBNBTGo&id=ooujaDjhSWt41RrO";"silver";"sub_1PLYUwDhgP60CL9xgoBNBTGo";"0";"";"2024-05-28 22:28:04"
"8d69b647-5455-11ef-99ce-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"q9cOScdCOylPOEtK";"http://api.legallead.co/subscription-checkout?sessionid=sub_1PkxuqDhgP60CL9xuwfSTXy3&id=q9cOScdCOylPOEtK";"gold";"sub_1PkxuqDhgP60CL9xuwfSTXy3";"0";"";"2024-08-07 00:39:49"
"8dcc4734-25da-11ef-99ce-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"sq4tFj9IzRqoC93V";"NONE";"guest";"NONE";"1";"2024-06-08 21:03:28";"2024-06-08 21:03:28"
"8f5c57eb-faa2-11ee-b616-0af7a01f52e9";"cf35094a-ad64-41dd-9f2d-32cbc942aaed";"F8pbAEfnklOmADhr";"NONE";"guest";"NONE";"1";"2024-04-14 21:04:19";"2024-04-14 21:04:19"
